 Algorithm ,A list of instructions that describe how to do a particular task. 
Absolute Error,The difference between the actual number and the nearest representable value.
Abstract Data Type (Adt),An object whose properties are specified independently of any particular programming language.
Abstraction,Picking out the important bits of information.
Accumulator,The part of the ALU that stores the intermediate results when doing a calculation.
Active Attack (Networks),A network attack where the hacker attempts to change data or introduce malware.
Algorithm,A step-by-step set of rules or instructions.
Algorithmic Thinking,Coming up with an algorithm to solve a problem.
Alphanumeric,"The collective name for letters, digits and symbols."
Alu (Acronym),Arithmetic and Logic Unit. The part of the CPU that carries out mathematical and Boolean operations.
Analogue Signal,A continuous signal which can't be processed by a computer.
And Logic Gate,"A logic gate with two inputs. The output will be on if both of the inputs are on. If either is off, the output will be off."
And Operator,"One of the Boolean operators. The result is true if both of the conditions are true. If either are false, the result is false."
Anti-Malware Software,Software designed to stop malware from damaging a computer or network.
App,Software for phones and tablets usually with one particular purpose.
Application,"A piece of software written to help users do various tasks, often through a graphical user interface with menus and toolbars."
Application Programming Interface (Api),A layer of software that allows application programs to call on the services of the operating system.
Architecture,Describes how the CPU works and interacts with the other parts of the computer system.
Argument,A value that a parameter of a sub program actually takes.
Arithmetic Operator,An operator that programs use to carry out simple mathematical operations.
Array,A data structure where all the data is stored and defined under one variable name.
ASCII,A 7-bit character set consisting of 128 characters (8th bit is used as parity bit).
Assembler,A program that turns assembly language into machine code.
Assembly Language,A low-level language.
Assignment Operator (=),Assigns the value on the right hand side to the name on the left hand side.
Asynchronous Serial Data Transmission,Transmission system in which the sender and receiver have separate clocks which are not kept synchronised. 
Attribute,A property or characteristic of an entity (databases) or an object (OOP).
Authentication,A process for checking the identity of the user.
Auto-Documentation,A programming tool commonly used to make a summary of a program.
Automation,Turning an abstraction into a form that can be processed by a computer.
Backdoor,A vulnerability in a computer or network's security that a hacker could exploit.
Backup Utilities,Software which can automatically create a copy of the files and settings on your computer at a given time. This will allows the users to restore work in the event of an error or issue.
Bandwidth,The amount of data that can be transferred on a network in a given time.
Baud Rate,The rate at which signals on a wire may change.
Binary,A counting system using base-2 consisting of Os and 1s.
Binary Addition,"The process of adding two binary numbers together. The rules for each digit: 1 + 1 = 0 with carry; 1 + 0 = 1 with no carry; 0 + 1 = 1 with no carry; 0 + 0 = 0 with no carry, 1 + 1 + carry = 1 with carry."
Binary Converting To/From Denary,The process of converting binary numbers to or from decimal (Base 10).
Binary Converting To/From Hexadecimal,The process of converting binary numbers to or from hexadecimal (Base 16).
Binary Overflow,"When the binary number resulting from some arithmetic is to large for the available space, the overflow or carry flag is set."
Binary Search Algorithm,A searching approach where a list is split in two. The target value is compared to the middle item and the half which cannot contain the target value is discarded. The process is repeated until the target value is found or the list is exhausted.
Binary Shift,Moving the bits in a binary number left or right and filling the gaps with Os.
BIOS ,Basic Input Output System check. It checks that the computer hardware is all present and working correctly when you power up a computer system. 
Bit,"A binary digit, either O or 1."
Bit Rate,The number of bits transmitted per second.
Bitmap Image,A graphic that is made up of pixels.
Blacklist,A list of inputs that a program should reject.
Boolean,"A logical system using the operators OR, AND and NOT. The Boolean data can take one of two values, either true or false."
Boolean Data Type,A variable or statement which can have either a TRUE or FALSE value.
Boolean Logic Gates,"Logic circuits are special circuits built into computer chips. They receive binary data, apply Boolean operations and output binary results."
Boolean Operators,A set of words used as connectives to combine one or more statements or variables to produce either a TRUE or FALSE value.
Booting Up ,Starting up a computer is also known as 'booting up' the computer. 
Breakpoint,A programming tool used to halt a program at a specific place.
Broadband,A multiple data channel system in which the bandwidth of the transmission medium carries several data streams at the same time.
Brute Force Attack,A network attack which uses software to crack security passwords through trial and error.
Bubble Sort,"A sorting algorithm where during a pass, neighbouring values are compared and swapped. Passes are made until no further swaps are needed."
Bus Topology,A network topology in which all devices are connected to a single backbone cable.
Byte,8 bits.
Cache (CPU),Quick access memory inside the CPU.
Cache Memory ,Very fast access memory which is close to the processor and stores frequently used data. 
Casting,A way of changing from one data type to another.
Cat 5E/Cat 6 Cable,Standards for copper Ethernet cables used on LANs.
Censorship,The control (usually by a government or organisation) of what information other people can access.
Channel (Wi-Fi),A small range of Wi-Fi frequencies.
Character,A single alphanumeric symbol.
Character (As A Data Type),"A type of data which represents a single alphanumeric item. This could be the letter ""a"", an exclamation mark or a ""non-printable"" (invisible) item like a space or tab."
Character Set,A group of characters that a computer recognises from their binary representation.
Check Digit,A digit added to a string of digits which is used to check if all the digits have been entered and read correctly.
Checksum,A number used to check if a packet of data sent between network s has been received correctly.
Cipher Text,Message data after it has been encrypted.
Client,A computer that uses the services provided by a server.
Client-Server Network,"A type of network managed by a server, which takes requests from client devices."
Client-Server System,"A system in which some computers (the clients), request services provided by other computers, the servers."
Clock Speed ,"The speed at which the processor carries out instructions, measured in Megahertz (MHz) or Gigahertz (GHz). "
Cloud Computing,The use of the Internet to store files and provide software. Also known as the cloud.
Code Editor,Part of an IDE where you write and edit your source code.
Colour Depth,The number of bits used for each pixel in an image file.
Command-Line Interface,A text-based user interface where the user types in commands.
Comment,A note added to source code to say what part of a program does.
Communication Protocol,"A set of agreed signals, codes and rules to be used for data and information exchange between computers."
Comparison Operator,Compares two values and outputs either true or false.
Compiled Code,An executable file created by a compiler.
Compiler,A programming tool to translate source code into machine code.
Complexity Of A Problem,Taken to be the worst case complexity of the most efficient algorithm which solves the problem.
Compression,The process of making the size of a file smaller.
Computational Complexity,A measure of how economical an algorithm is with time and space.
Computational Thinking,"Tackling a problem through decomposition, abstraction and algorithmic thinking."
